Date,leadCampaigns,leadDisplay,leadOrganic,leadOther,leadSEAB,leadSEAG,leadSocial,netCampaigns,netDisplay,netSEAB,netSEAG,netSocial,netOther,netPrint,netTV,netRadio,netOOH,sessionCampaigns,sessionDisplay,sessionOrganic,sessionOther,sessionSEAB,sessionSEAG,sessionSocial,ygBuzz,ygAwareness,ygAttention,ygAdawareness,ygWomexposure,ygConsideration,ygPurchaseintent,unemp,usdEur,covid,pricePC,priceLife
2019-01-01,659,67,4993,638,2492,7212,28,5221,2177.310468,21163.859999999997,108859.73000000001,13616.78,0,35518.38236842104,292232.763157895,0,0,37920,32099,1220303,362739,59676,64514,1998,5.828100734040126,76.33041619903597,10.337193302647272,16.399657008289363,7.585652077827677,9.9480784871714,2.571688207756884,15.267637362637364,1.1535000000000002,0,427.0806805429094,2191.9433871127717
2019-02-01,871,47,4255,799,2160,5800,9,8119,1258.094524,18530.629999999997,104814.45000000014,10012.1,0,35518.38236842104,233786.210526316,0,0,38473,18407,1147135,336491,52586,46838,2751,6.704695309696956,75.26737915359278,11.196901455767328,13.967411943603965,7.0608088179584865,9.550011941938276,2.462826254699765,15.172857142857143,1.1459428571428572,0,388.40878010745365,3341.780820049349
2019-03-01,918,68,4449,1224,2430,6746,21,6383,1560.5107580000001,19464.800000000007,124256.73000000011,13073.57,0,60254.35559210526,233786.210526316,0,0,39850,16962,1200605,365155,56121,56600,2617,7.125484152554498,75.47554804069065,11.556603243804823,12.582775845591865,5.805670523468498,10.259556038698353,2.8720841979430616,15.084395604395606,1.137957142857143,0,390.916721306674,2515.848545952904
2019-04-01,1001,90,4234,1143,2310,6410,11,7947.03,11503.687538000002,22639.39000000001,150134.29000000027,13022.06,0,35518.38236842104,326904.727364537,0,0,38649,53480,1131162,339982,53237,53182,2452,8.229981594610981,73.776908028977,12.666314579466164,9.62672629756983,5.6459747809097065,9.30768417246863,2.5041622967357373,14.986456043956045,1.1306142857142856,0,331.65490005388017,4653.570832405996
2019-05-01,867,51,4225,1331,2587,7123,17,7096,11514.899427999999,19746.11,126537.18999999994,15515.21,0,54070.09559210526,146146.2268013206,0,0,44280,46321,1231702,368294,57491,58671,2633,6.99798111026972,76.49712446553069,10.774088536939004,12.58997418687339,5.619787656981914,12.955116318175602,2.753173110473693,14.891675824175824,1.1240571428571429,0,385.14254843002243,7066.558827221807
2019-06-01,670,85,3428,616,2486,6535,8,6176,11532.433891999997,22910.410000000007,117951.26000000007,7581.84,0,12368.52,82547.1841328413,0,0,62745,24912,1082223,294204,56176,53070,2234,6.977535199401547,78.35463394345226,11.309293569488702,15.190177062425537,5.751524296830723,11.158532796302595,3.3183379165226823,14.793736263736264,1.120642857142857,0,333.2346439568373,8829.158950104162
2019-07-01,1325,84,3663,743,2391,7518,4,6877,17250.314883000003,32253.680000000004,150067.19999999978,10898.53,0,36684.44,12290.8356088561,0,43311.316,75899,31117,1070382,275136,61872,57484,1548,6.026217635691459,81.13552477811106,7.820065860755854,13.49831138173122,4.685327569777092,9.723441093050113,1.485548211407323,14.698956043956045,1.1395,0,338.75486354625224,6384.873242838206
2019-08-01,605,30,3395,741,2169,6218,10,1173,10409.230886,22869.77,98334.6400000001,12276.02,0,67901.84,175339.657894737,0,173245.264,68598,121330,852381,228693,58442,50848,1191,6.411739951036598,73.22967338355218,9.4615876030492565,14.585586567060675,4.687370257588357,5.7350358126194845,1.4913906702744613,14.601016483516485,1.1183714285714286,0,430.1707757265802,5845.20271666115
2019-09-01,624,26,3450,603,1860,5562,5,116995.67,14262.181803000001,26304.10000000001,128926.60999999981,10970.55,0,74088.69118421052,919377.2161318759,0,0,61168,25600,1105954,278405,58884,57467,2840,6.369512474257285,72.16897414401997,6.369512474257285,7.859426754937478,3.478948442621914,5.487505641217594,0,14.503076923076923,1.1143,0,430.7645390070922,8035.2618629173985
2019-10-01,244,25,3497,673,1779,4952,2,2058.5,11599.397799000002,19158.090000000004,81422.06,12342.35,0,95336.09559210527,1160492.3318432542,0,0,52291,21856,895280,212048,52314,45382,1641,0.7901623291357835,76.28014554078946,4.907659071169388,11.700293079438618,2.9338832034549824,7.470550404009619,3.2971070402088607,14.408296703296703,1.1006428571428573,0,458.1838213599932,4168.975042512366
2019-11-01,107,18,3431,1153,1548,3852,6,7229.5,15138.882770999999,21632.06,88456.66000000006,8031.76,0,65034.38236842112,292996.7368421055,0,0,40624,3655,690978,149832,38092,31080,876,5.975147712984529,69.86626395377269,6.884084238738528,11.341320095052556,4.166927355970181,8.672897857675308,1.3041955733087949,14.310357142857145,1.1156714285714284,0,345.0017562423068,9185.060455355546
2019-12-01,132,16,3919,266,933,1625,1,1187,14474.889750999999,6223.23,57312.329999999994,1055.6,0,35518.38236842104,233786.210526316,0,0,31295,5731,677362,145294,21709,11004,735,3.64537767734909,78.16443172762557,7.819115474586458,8.163514295709883,4.603117670695224,10.32529572627907,0.5375715257319255,14.215576923076924,1.1023,0,598.6032150776053,13949.661290322581
2020-01-01,12,63,4165,289,2561,1947,3,0,12287.946184,17440.28,55673.07999999997,8148,0,36618.64,326842.105263158,0,0,26312,8660,814863,169665,43030,14531,697,3.751012694669411,74.87516041940296,8.244386067085495,5.957049335128893,5.85199759107002,8.796114093398579,2.1628869844054264,14.117637362637362,1.1152428571428572,0,445.7082897962549,5669.22302227728
2020-02-01,6,57,4757,314,3150,2009,2,0,12902.170309,11602.86,87314.89,15684.08,0,36618.64,236842.105263158,0,0,24579,54607,1030881,217836,54653,25380,2076,6.933583698180527,71.08867951989289,8.690232342325935,8.436660371652199,4.160125987393175,11.761912771439267,1.2454220870396742,14.01969780219779,1.1038714285714286,0.8571428571428571,415.85417381164297,6931.98308839558
2020-03-01,10,55,2847,385,3520,1897,8,0,13084.946636,6098.8,65015.09999999995,17555.91,0,45773.3,59210.5263157895,0,0,31787,82152,1108998,227248,55044,16507,2183,3.497820686345859,71.18787029780353,8.117911295458066,9.219407554297906,2.937659955055052,10.69651994516606,3.351359680059807,13.928076923076901,1.0997,82,344.39011233102747,8886.2
2020-04-01,10,83,2564,364,3529,2413,8,0,6701.815344000001,4414.9299999999985,67635.00000000003,15101.44,0,0,0,0,0,19890,85253,1012461,204191,51100,26945,2351,3.3136322752118845,77.18521931415974,6.8649033974376295,8.981321823732749,4.257992878974701,7.237672595172156,2.326930318285934,13.83013736263733,1.1087,68166.71428571429,468.89686718273583,1053.7605905671585
2020-05-01,18,129,3320,139,5533,3899,547,0,0,6774.87,110084.66999999993,12365.09,0,0,0,105558.7619047619,0,22738,55460,1258891,248106,83186,58081,10580,1.8469892791135902,76.30265419251276,5.099108222759359,6.303123481811575,3.532967643288611,7.23025889217215,1.829510073345385,13.735357142857099,1.10295,89797,302.4271344837626,9759.390419855094
2020-06-01,59,537,3343,207,6778,5033,714,0,3731.601917,8828.939999999999,181147.75999999983,19634.91,0,45773.3,639272.5437789476,150218.2380952382,0,27732,82625,1367432,314771,101764,60985,12444,4.04930153992765,75.35521563969971,5.835174543733735,7.345944376203541,3.30488024221957,9.307701630112884,1.2604657938505337,13.637417582417529,1.1138350000000001,62270.57142857143,346.6879107117928,6205.292043652043
2020-07-01,17,439,4753,96,5633,6474,49,0,7226.959999999999,5920.88,137837.57000000007,20168.53,0,50869.979999999996,296052.63157894753,0,0,43232,9759,1402503,301156,87145,63513,5525,1.5882500619312454,69.93807770238358,3.5312049300555386,6.198816124791465,2.914091509921169,7.696567987913976,2.342391715511954,13.542637362637299,1.1284264285714285,70793.71428571429,350.2894563606063,7486.131836521998
2020-08-01,17,607,4718,95,5114,5086,81,0,23631.709999999992,7934.490000000002,144751.47000000006,14831.47,0,69842,0,0,0,28335,7933,1056795,199792,67353,35962,3538,4.836355804390637,72.478695691759,5.944539319669986,8.41639693938386,2.4248111907486702,5.982854168783661,0.22771420361819716,13.444697802197727,1.1820805714285716,107402.71428571429,332.0165281147457,6499.613640822634
2020-09-01,28,569,5082,118,4968,4816,120,0,7600.13,5540.169999999999,97374.47999999995,20000,0,59309.3,342943.5646899475,0,0,30718,9310,1369446,279298,68371,35526,3897,4.077575376613597,71.18383938264807,5.542268790423002,8.745816595592434,3.484253882285052,6.893197516220182,1.9395246141920846,13.346758241758156,1.1916842857142858,276840.71428571426,429.77332625405904,2147.751462720115
2020-10-01,53,401,4894,213,4194,3758,827,0,12170.38,5837.619999999999,105094.98000000008,24651.21,29919.66,47767.979999999996,550301.1774248,0,0,54980,29904,1409578,284675,66116,28401,14000,5.874596224375425,76.07313354575015,7.445658962933843,10.25448110022882,4.035549670980012,8.539462070293219,4.038318708224194,13.251978021977926,1.1753298571428572,576357,411.5989593819892,2950.7567357104913
2020-11-01,35,497,4655,205,3967,3617,1342,0,10486.64,4664.21,99535.27,49329.36,0,75477.3,177631.5789473685,0,0,64816,25339,1445879,241829,64335,28813,18564,5.732653230011286,73.70008014621851,8.049206938348474,11.41325855074009,5.045308795246857,9.485920215024583,3.526177604244625,13.154038461538356,1.180749,999424,328.31055290485546,2944.42174796748
2020-12-01,9,524,3906,178,3754,3226,764,0,11933.029999999999,4331.6,80518.95,22928.39,0,36618.64,0,0,0,53693,30917,1345549,230994,57131,25697,15275,7.096624456608622,75.67360225939838,8.000267136718797,11.522883884181747,4.694320447441636,10.295299410823,2.771792848661869,13.059258241758126,1.2017915714285714,1448836.857142857,399.58822424350274,6264.8146146281715
