PoliciesPCB2C,PricePCB2C,PricePCB2B,PriceLHB2C,Quarter1,Quarter2,Quarter3,Quarter4,BrandPC,BrandLH,Distribution,GTrends,Covid,Cars,Unemp,Competitor,MediaOnline,MediaOffline,PoliciesPCB2B,PoliciesLHB2C,Brand
40060,1602.9138351792753,1602.9138351792753,39058.65911237015,1,0,0,0,25.4,21.1,1072,39.666666666666664,0,96.14205,3.088,17564616.84,0,0,13210,1614,0.254
41492,1178.144925227503,1178.144925227503,14939.67995508142,0,1,0,0,25.4,21.1,1079,38,0,96.14205,3.088,28248554.03000001,0,0,8727,1614,0.254
36233,1222.3858226464088,1222.3858226464088,12555.208877284595,0,0,1,0,25.4,21.1,1078,39.333333333333336,0,96.14205,3.088,19634506.91,182591.55300302143,165751.3179934898,7668,1338,0.254
39775,1537.2247441717334,1537.2247441717334,9225.914948453612,0,0,0,1,25.4,21.1,1078,33,0,96.14205,3.088,32659311.360000003,124642.29202329081,112514.33525434433,12213,2111,0.254
39257,1366.1578927305304,1366.1578927305304,18413.125548726952,1,0,0,0,28.2,21.7,1078,39.666666666666664,0,91.97415,2.547,16247221.879999997,434482.52741914516,1214902.4232605405,13209,1849,0.282
40921,134.8140471396421,134.8140471396421,9121.508656224238,0,1,0,0,28.2,21.7,1074,32,0,91.97415,2.547,27605532.460000005,0,0,9737,2109,0.282
36118,676.149423986601,676.149423986601,13545.136462882103,0,0,1,0,28.2,21.7,1100,39.666666666666664,0,91.97415,2.547,26730559.089999992,108689.74069034233,248086.9837285608,8065,1541,0.282
36127,890.7455694055795,890.7455694055795,11977.985466289867,0,0,0,1,28.2,21.7,1104,38.333333333333336,0,91.97415,2.547,31505122.709999993,311795.028173011,0,11045,2231,0.282
35418,783.2893777606247,783.2893777606247,53956.92892436336,1,0,0,0,26,21.1,1102,43.333333333333336,0,95.64686,2.306,16245106.1,9443.44336790621,0,11220,1957,0.26
36957,732.2148846504754,732.2148846504754,16815.218558282217,0,1,0,0,26,21.1,1098,46.333333333333336,0,95.64686,2.306,22571706.68999999,776510.310287082,555938.945048045,9077,2336,0.26
34138,765.7461459648787,765.7461459648787,15482.252641690677,0,0,1,0,26,21.1,1087,75.66666666666667,0,95.64686,2.306,27128445.74999999,36790.796866510966,31423.487054133722,7831,1826,0.26
34537,1197.9316677343586,1197.9316677343586,11761.015714833267,0,0,0,1,26,21.1,1082,55.333333333333336,0,95.64686,2.306,37120877.980000034,478939.68331069266,0,12293,2354,0.26
35728,793.2399179767601,793.2399179767601,24320.62669245648,1,0,0,0,26.6,20.6,1048,40,0,72.95403,2.725,17301163.72,0,0,14014,2174,0.266
31936,1341.3802516316357,1341.3802516316357,12186.073431922485,0,1,0,0,26.6,20.6,1041,35.333333333333336,14313,72.95403,2.725,14865822.289999992,858649.3807011301,13651.785130585868,8361,1688,0.266
36153,784.820253837464,784.820253837464,10985.841121495327,0,0,1,0,26.6,20.6,1036,36,686,72.95403,2.725,30872901.51,530009.8250443295,162752.59547675378,8994,2266,0.266
33748,1123.1021101139938,1123.1021101139938,8556.860043509787,0,0,0,1,26.6,20.6,1034,29.666666666666668,6458,72.95403,2.725,32592596.860000007,352154.5881377388,0,11605,2519,0.266
32398,939.086855104281,939.086855104281,31371.70395869191,1,0,0,0,26.59999999999999,20.6,1043,33.666666666666664,126992,72.95403,2.6,50473165.86999996,93693.59992603217,0,11330,2391,0.2659999999999999
33316,681.190857963384,681.190857963384,12839.416386083052,0,1,0,0,26.59999999999998,20.599999999999994,1042,30.333333333333332,275142,72.95403,2.6,36558367.1,224153.2985067727,0,8469,2409,0.2659999999999998
