Date,Open,High,Low,Close,Adjusted_close,Volume
2007-01-03,29.915,30.25,29.4,29.86,21.7892,76901844
2007-01-04,29.695,29.97,29.44,29.81,21.7527,45705973
2007-01-05,29.63,29.75,29.45,29.64,21.6287,44517320
2007-01-08,29.65,30.1,29.53,29.93,21.8403,50148180
2007-01-09,30,30.18,29.73,29.96,21.8622,44622078
2007-01-10,29.8,29.89,29.43,29.66,21.6433,55013973
2007-01-11,29.755,30.75,29.6499,30.7,22.4022,99329242
2007-01-12,30.65,31.39,30.64,31.21,22.7743,103960305
2007-01-16,31.26,31.45,31.03,31.16,22.7378,62276312
2007-01-17,31.26,31.44,31.01,31.1,22.694,58495680
2007-01-18,31.14,31.37,30.8,31,22.6211,56006359
2007-01-19,30.72,31.11,30.69,31.11,22.7013,75816289
2007-01-22,31.065,31.12,30.51,30.72,22.4168,55139633
2007-01-23,30.63,30.96,30.52,30.74,22.4313,49167219
2007-01-24,30.78,31.3,30.65,31.09,22.6867,58509453
2007-01-25,31.085,31.48,30.45,30.45,22.2197,95942727
2007-01-26,31.225,31.23,30.6,30.6,22.3292,96082547
2007-01-29,30.675,30.78,30.34,30.53,22.2781,57603621
2007-01-30,30.57,30.64,30.14,30.48,22.2416,61883738
2007-01-31,30.42,31.1,30.35,30.86,22.5189,73881203
2007-02-01,30.84,30.94,30.37,30.56,22.3,53768941
2007-02-02,30.825,30.84,30.13,30.19,22.03,60400211
2007-02-05,29.97,30.02,29.41,29.61,21.6068,99093555
2007-02-06,29.59,29.7501,29.22,29.51,21.5338,78824023
2007-02-07,29.64,29.7,29.2499,29.37,21.4316,65138391
2007-02-08,29.255,29.8,29.2,29.26,21.3514,48679492
2007-02-09,29.345,29.4,28.93,28.98,21.1471,69808508
2007-02-12,28.89,29.09,28.83,28.94,21.1179,52560754
2007-02-13,29.04,29.2,28.96,29.03,21.257,50348039
2007-02-14,29.165,29.69,29.15,29.4,21.5279,55589570
2007-02-15,29.57,29.65,29.22,29.46,21.5719,63410020
2007-02-16,28.89,28.94,28.6499,28.74,21.0446,109329102
2007-02-20,28.64,28.86,28.47,28.83,21.1105,53966254
2007-02-21,28.75,29.39,28.74,29.35,21.4913,68570438
2007-02-22,29.305,29.54,29.16,29.39,21.5206,57749691
2007-02-23,29.22,29.28,28.89,28.9,21.1618,63741973
2007-02-26,28.96,29.12,28.82,29.07,21.2863,63520910
2007-02-27,28.71,28.97,27.79,27.87,20.4076,87123328
2007-02-28,27.95,28.25,27.92,28.17,20.6273,86325609
2007-03-01,27.82,28.33,27.73,28.09,20.5687,80173445
2007-03-02,28.02,28.16,27.76,27.76,20.327,63253434
2007-03-05,27.49,27.91,27.41,27.5499,20.1732,56139031
2007-03-06,27.8,27.94,27.65,27.83,20.3783,49354559
2007-03-07,27.76,27.9,27.55,27.61,20.2172,51222219
2007-03-08,27.72,27.85,26.6,27.32,20.0049,72100531
2007-03-09,27.42,27.48,27.03,27.29,19.9829,79961758
2007-03-12,27.18,27.48,27.13,27.44,20.0927,36474781
2007-03-13,27.25,27.4,26.71,26.72,19.5655,74969516
2007-03-14,26.82,27.4,26.73,27.4,20.0634,75642562
2007-03-15,27.32,27.47,27.2,27.28,19.9756,51740422
2007-03-16,27.35,27.48,27.2,27.33,20.0122,65036102
2007-03-19,27.34,27.83,27.2,27.83,20.3783,49411160
2007-03-20,27.93,28.16,27.76,27.84,20.3856,47897527
2007-03-21,27.895,28.52,27.56,28.52,20.8835,72808047
2007-03-22,28.52,28.55,28.01,28.27,20.7005,47934754
2007-03-23,28.22,28.27,27.8,28.02,20.5174,50519441
2007-03-26,27.94,28.22,27.7,28.22,20.6639,47321000
2007-03-27,28.04,28.16,27.65,27.72,20.2978,58981230
2007-03-28,27.58,28,27.4,27.64,20.2392,49018992
2007-03-29,27.84,27.845,27.49,27.75,20.3197,42625480
2007-03-30,27.75,27.95,27.5,27.87,20.4076,47060922
2007-04-02,27.89,27.93,27.56,27.74,20.3124,41809379
2007-04-03,27.86,28.06,27.75,27.87,20.4076,39748207
2007-04-04,28.01,28.78,27.9,28.5,20.8689,63243559
2007-04-05,28.32,28.65,28.3,28.55,20.9055,30131189
2007-04-09,28.575,28.72,28.39,28.57,20.9202,31384529
2007-04-10,28.5,28.64,28.22,28.4,20.7957,38643070
2007-04-11,28.3,28.57,27.99,28.11,20.5833,44046160
2007-04-12,28.06,28.62,28.04,28.54,20.8982,43762047
2007-04-13,28.43,28.7,28.1,28.61,20.9494,35913422
2007-04-16,28.6,28.75,28.21,28.73,21.0373,30700090
2007-04-17,28.63,28.89,28.56,28.85,21.1252,33169762
2007-04-18,28.61,28.67,28.36,28.6,20.9421,41765328
2007-04-19,28.34,28.89,28.26,28.69,21.008,44828539
2007-04-20,28.98,29.1,28.7,29.02,21.2497,60615262
2007-04-23,28.96,28.99,28.67,28.78,21.0739,41739102
